area_id,area_name,b17020c001,b17020c001_moe,b17020c002,b17020c002_moe,b17020c003,b17020c003_moe,b17020c004,b17020c004_moe,b17020c005,b17020c005_moe,b17020c006,b17020c006_moe,b17020c007,b17020c007_moe,b17020c008,b17020c008_moe,b17020c009,b17020c009_moe,b17020c010,b17020c010_moe,b17020c011,b17020c011_moe,b17020c012,b17020c012_moe,b17020c013,b17020c013_moe,b17020c014,b17020c014_moe,b17020c015,b17020c015_moe,b17020c016,b17020c016_moe,b17020c017,b17020c017_moe
1,Rogers Park,110,130,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,110,130,18,55,0,48,0,48,12,49,80,102,0,48,0,48
2,West Ridge,257,215,53,80,0,51,0,51,0,51,0,51,53,80,0,51,0,51,204,206,0,51,0,51,7,51,26,66,134,155,37,67,0,51
3,Uptown,249,146,159,117,0,48,19,54,19,54,0,48,102,87,19,53,0,48,90,72,0,48,0,48,0,48,0,48,90,72,0,48,0,48
4,Lincoln Square,242,175,26,58,26,58,0,40,0,40,0,40,0,40,0,40,0,40,216,169,0,40,0,40,0,40,0,40,203,160,13,43,0,40
5,North Center,81,70,52,66,0,43,0,43,0,43,0,43,52,66,0,43,0,43,29,47,0,43,0,43,0,43,0,43,29,47,0,43,0,43
6,Lake View,221,167,40,69,0,66,0,66,0,66,0,66,40,69,0,66,0,66,181,164,0,66,0,66,0,66,11,67,155,160,0,66,15,69
7,Lincoln Park,135,111,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,135,111,13,54,8,51,11,53,0,51,97,87,0,51,6,51
8,Near North Side,225,164,57,83,0,54,0,54,0,54,22,64,35,65,0,54,0,54,168,151,0,54,0,54,0,54,0,54,168,151,0,54,0,54
9,Edison Park,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25
10,Norwood Park,71,133,7,39,0,39,0,39,0,39,0,39,7,39,0,39,0,39,64,133,34,76,0,39,0,39,0,39,30,71,0,39,0,39
11,Jefferson Park,74,82,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,74,82,0,29,27,45,0,29,0,29,47,52,0,29,0,29
12,Forest Glen,21,40,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,21,40,0,29,0,29,0,29,0,29,21,40,0,29,0,29
13,North Park,42,48,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,42,48,0,27,0,27,0,27,0,27,42,48,0,27,0,27
14,Albany Park,123,111,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,123,111,0,45,0,45,10,45,0,45,81,76,14,47,18,51
15,Portage Park,175,179,12,47,0,47,0,47,0,47,0,47,12,47,0,47,0,47,163,176,6,47,0,47,28,62,0,47,129,135,0,47,0,47
16,Irving Park,150,134,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,150,134,0,47,0,47,14,51,0,47,124,130,12,50,0,47
17,Dunning,86,97,64,92,0,40,0,40,0,40,0,40,64,92,0,40,0,40,22,47,0,40,0,40,0,40,0,40,22,47,0,40,0,40
18,Montclare,42,54,8,20,0,23,0,23,8,20,0,23,0,23,0,23,0,23,34,52,0,23,0,23,33,54,0,23,1,16,0,23,0,23
19,Belmont Cragin,171,165,107,152,0,52,0,52,25,65,37,79,37,64,8,53,0,52,64,80,6,52,0,52,0,52,20,57,38,62,0,52,0,52
20,Hermosa,33,49,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,33,49,0,29,0,29,0,29,0,29,33,49,0,29,0,29
21,Avondale,285,278,40,60,0,38,0,38,0,38,0,38,40,60,0,38,0,38,245,275,0,38,25,54,7,38,0,38,198,234,9,39,6,38
22,Logan Square,136,114,4,57,4,57,0,57,0,57,0,57,0,57,0,57,0,57,132,114,8,57,0,57,5,57,0,57,119,112,0,57,0,57
23,Humboldt Park,168,159,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,168,159,0,51,0,51,0,51,0,51,126,121,29,68,13,53
24,West Town,231,109,65,77,0,62,0,62,0,62,8,63,54,73,0,62,3,62,166,98,0,62,0,62,0,62,6,62,153,95,7,63,0,62
25,Austin,142,152,33,68,0,61,0,61,0,61,13,64,20,66,0,61,0,61,109,148,13,64,0,61,15,65,0,61,81,121,0,61,0,61
26,West Garfield Park,14,45,14,45,0,35,0,35,0,35,0,35,14,45,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35
27,East Garfield Park,13,43,13,43,0,38,0,38,0,38,0,38,13,43,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38
28,Near West Side,154,111,30,57,0,52,0,52,0,52,0,52,30,57,0,52,0,52,124,98,5,51,4,51,8,52,4,51,103,89,0,52,0,52
29,North Lawndale,21,52,18,51,0,43,0,43,0,43,0,43,18,51,0,43,0,43,3,42,0,43,0,43,0,43,0,43,0,43,3,42,0,43
30,South Lawndale,314,177,129,104,9,49,8,49,24,55,9,49,51,58,12,47,16,49,185,146,16,49,0,48,22,49,18,50,104,79,17,49,8,49
31,Lower West Side,113,74,34,51,0,42,0,42,0,42,0,42,13,41,0,42,21,51,79,58,13,42,0,42,0,42,13,41,53,44,0,42,0,42
32,Loop,34,37,17,37,0,30,0,30,0,30,0,30,17,37,0,30,0,30,17,30,0,30,0,30,0,30,0,30,17,30,0,30,0,30
33,Near South Side,53,62,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,53,62,0,24,0,24,0,24,0,24,53,62,0,24,0,24
34,Armour Square,5,26,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,5,26,0,27,0,27,0,27,0,27,5,26,0,27,0,27
35,Douglas,7,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,7,35,0,35,0,35,0,35,0,35,7,35,0,35,0,35
36,Oakland,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
37,Fuller Park,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,14,45,13,46,0,43,0,43,0,43,0,43,0,43,13,46,0,43,1,41,0,43,0,43,0,43,0,43,1,41,0,43,0,43
39,Kenwood,73,63,9,33,9,33,0,31,0,31,0,31,0,31,0,31,0,31,64,62,0,31,0,31,0,31,0,31,0,31,24,46,40,50
40,Washington Park,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
41,Hyde Park,84,74,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,84,74,0,38,0,38,0,38,29,54,42,50,13,43,0,38
42,Woodlawn,60,57,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,60,57,0,36,0,36,0,36,7,36,53,57,0,36,0,36
43,South Shore,108,86,38,54,0,44,0,44,0,44,0,44,38,54,0,44,0,44,70,80,0,44,0,44,0,44,0,44,70,80,0,44,0,44
44,Chatham,28,43,16,42,0,37,0,37,0,37,0,37,16,42,0,37,0,37,12,38,0,37,0,37,0,37,0,37,12,38,0,37,0,37
45,Avalon Park,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
46,South Chicago,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37
47,Burnside,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
48,Calumet Heights,9,29,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,9,29,0,27,0,27,0,27,0,27,0,27,0,27,9,29
49,Roseland,20,54,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,20,54,0,41,0,41,20,54,0,41,0,41,0,41,0,41
50,Pullman,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
51,South Deering,17,35,17,35,0,25,0,25,0,25,0,25,17,35,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25
52,East Side,80,67,7,33,0,29,0,29,0,29,7,33,0,29,0,29,0,29,73,66,0,29,0,29,0,29,0,29,73,66,0,29,0,29
53,West Pullman,27,47,14,45,0,39,0,39,4,38,5,38,5,38,0,39,0,39,13,42,0,39,0,39,0,39,0,39,0,39,13,42,0,39
54,Riverdale,3,13,3,13,0,16,0,16,0,16,0,16,3,13,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
55,Hegewisch,45,45,20,36,0,19,0,19,0,19,0,19,20,36,0,19,0,19,25,30,0,19,0,19,0,19,0,19,25,30,0,19,0,19
56,Garfield Ridge,17,45,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,17,45,0,42,0,42,0,42,0,42,17,45,0,42,0,42
57,Archer Heights,91,78,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,91,78,18,35,0,27,0,27,13,31,52,62,8,28,0,27
58,Brighton Park,109,91,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,109,91,4,43,0,43,9,44,4,43,92,82,0,43,0,43
59,McKinley Park,250,195,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,250,195,51,50,0,25,80,114,18,40,101,75,0,25,0,25
60,Bridgeport,226,180,93,92,0,37,0,37,38,63,0,37,15,43,40,50,0,37,133,159,0,37,0,37,0,37,44,73,89,102,0,37,0,37
61,New City,309,244,17,52,0,47,0,47,0,47,0,47,17,52,0,47,0,47,292,243,0,47,0,47,21,51,39,67,232,214,0,47,0,47
62,West Elsdon,18,29,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,18,29,0,27,0,27,0,27,0,27,18,29,0,27,0,27
63,Gage Park,129,152,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,129,152,16,45,0,41,0,41,29,62,84,103,0,41,0,41
64,Clearing,93,155,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,93,155,0,31,0,31,0,31,0,31,77,125,16,41,0,31
65,West Lawn,353,287,40,69,11,36,0,34,20,44,0,34,9,35,0,34,0,34,313,280,50,63,0,34,25,51,83,97,131,121,24,50,0,34
66,Chicago Lawn,118,129,83,116,24,60,0,49,12,49,12,50,35,58,0,49,0,49,35,58,0,49,0,49,0,49,0,49,35,58,0,49,0,49
67,West Englewood,21,51,9,49,0,48,0,48,0,48,0,48,9,49,0,48,0,48,12,50,0,48,0,48,0,48,0,48,0,48,0,48,12,50
68,Englewood,79,80,67,78,0,36,0,36,0,36,0,36,49,74,18,45,0,36,12,41,0,36,0,36,0,36,0,36,12,41,0,36,0,36
69,Greater Grand Crossing,211,107,155,86,0,38,0,38,0,38,0,38,155,86,0,38,0,38,56,75,0,38,0,38,0,38,0,38,56,75,0,38,0,38
70,Ashburn,152,183,118,171,0,41,0,41,23,50,22,49,73,110,0,41,0,41,34,64,0,41,0,41,0,41,0,41,34,64,0,41,0,41
71,Auburn Gresham,53,82,43,82,0,46,0,46,0,46,0,46,43,82,0,46,0,46,10,46,0,46,0,46,0,46,0,46,10,46,0,46,0,46
72,Beverly,24,30,12,29,0,29,0,29,0,29,0,29,7,30,5,28,0,29,12,30,0,29,7,30,0,29,0,29,5,29,0,29,0,29
73,Washington Heights,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33
74,Mount Greenwood,18,37,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,18,37,0,25,0,25,0,25,0,25,18,37,0,25,0,25
75,Morgan Park,51,42,9,33,0,31,0,31,0,31,0,31,0,31,9,33,0,31,42,40,0,31,0,31,0,31,0,31,42,40,0,31,0,31
76,O'Hare,46,64,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,46,64,0,38,0,38,0,38,0,38,46,64,0,38,0,38
77,Edgewater,149,131,7,48,0,48,0,48,0,48,0,48,7,48,0,48,0,48,142,131,0,48,0,48,0,48,25,62,100,99,17,54,0,48
